n,greedy_cost,greedy_time,greedy_benefit,batching_cost,batching_time,batching_benefit,alternative_cost,alternative_time,alternative_benefit
10,36.9,1.376e-06,2.18764,293,0.000128638,2.3803,39,3.6247e-05,2.58356
10,42.4,1.172e-06,2.32316,324,3.5127e-05,2.48467,40,2.8071e-05,2.56407
10,65.6,1.124e-06,1.50132,569,3.5277e-05,1.68668,62,2.8901e-05,1.71504
10,29.5,1.126e-06,2.12265,237,3.6167e-05,2.46848,34,2.483e-05,2.744
10,33.9,1.194e-06,2.72653,308,3.8741e-05,2.76135,39,3.9636e-05,2.51203
10,63.6,1.118e-06,1.7508,544,3.2534e-05,2.32476,53,2.7193e-05,1.9504
10,44.9,1.044e-06,1.95153,410,3.9515e-05,1.96554,49,2.8038e-05,2.04453
10,56.3,1.039e-06,1.88981,469,3.6705e-05,2.49294,49,2.9789e-05,2.50264
10,38.1,1.166e-06,1.78968,355,3.4683e-05,1.94116,51,3.0694e-05,2.12418
10,58.1,9.81e-07,1.69759,497,4.4265e-05,1.83825,62,2.1871e-05,1.92078
100,408.7,7.9131e-05,2.66872,3295,0.00246943,2.58795,350,0.00201462,2.91832
100,380,9.466e-05,2.57695,3442,0.00398905,2.54653,311,0.00236616,2.84496
100,307.7,4.9595e-05,3.10373,2415,0.00243806,3.13967,306,0.0065571,3.32637
100,380.1,5.907e-05,2.58536,3174,0.002481,2.55401,356,0.00218971,2.94301
100,279.2,5.7169e-05,2.87035,2348,0.00242623,3.04362,309,0.00223836,3.26471
100,398.5,5.1885e-05,2.57917,3417,0.00234753,3.75177,372,0.00262016,2.7413
100,323.1,5.6387e-05,2.91306,2509,0.00210015,2.94987,314,0.00231293,3.14624
100,325.5,4.8075e-05,2.95811,2600,0.00242657,2.92166,315,0.00209485,3.25734
100,271.3,4.9823e-05,3.20167,2276,0.00233138,3.07392,298,0.00204191,3.40305
100,299,4.8544e-05,2.89727,2587,0.00241412,2.80231,311,0.0023182,3.07155
250,917.9,0.000308098,3.05795,7065,0.0184041,4.01831,774,0.0176205,3.29875
250,988.2,0.000296214,2.87723,7739,0.0157933,2.92202,816,0.016461,3.19874
250,736.9,0.000368676,3.02062,5995,0.0274272,2.91784,715,0.018465,3.28307
250,844.5,0.000300941,4.23301,7309,0.0156168,3.28265,779,0.017299,3.20746
250,844.2,0.000354826,2.85226,7270,0.0191905,2.86275,787,0.0173487,3.14385
250,795.7,0.00029004,3.02258,6356,0.0161907,2.97241,673,0.0160482,3.33634
250,793.7,0.000486096,3.00279,6761,0.0184911,2.87424,728,0.0180815,3.26256
250,867.8,0.00029751,3.14013,6817,0.0146601,3.17119,709,0.0201191,3.18284
250,944.9,0.000401958,2.67004,8257,0.0187854,2.57061,858,0.0195912,2.91789
250,762.2,0.000337573,3.02197,6591,0.0191889,2.74386,767,0.0158442,3.17244
500,1655.3,0.0015426,3.03581,13712,0.0993445,2.8768,1481,0.0819622,3.27906
500,1605.1,0.0015929,4.00967,14128,0.0922535,2.93651,1469,0.072205,3.37996
500,1486.9,0.00129608,3.80785,12706,0.0847467,3.13114,1369,0.0716297,3.47792
500,1390.2,0.00129841,4.83439,11744,0.0925618,3.22385,1329,0.0912117,3.5587
500,1467,0.00162743,3.70333,12917,0.0861612,3.18366,1420,0.0720165,3.38551
500,1441.5,0.00167174,3.24652,12554,0.102967,2.89538,-2.14748e+09,0.141964,3.32697
500,1737.4,0.00150749,4.43669,15218,0.0982734,2.685,1515,0.0817834,3.20591
500,1705.1,0.00135373,3.40736,14174,0.0803066,2.90815,-2.14748e+09,0.147218,3.29397
500,1512.7,0.00185381,3.36471,12435,0.0922856,3.4365,1370,0.0733093,3.40482
500,1531.7,0.00160348,3.03531,13094,0.0953499,2.83059,1389,0.0711305,3.32206
