n,greedy_cost,greedy_time,greedy_relative_dist,greedy_benefit,batching_cost,batching_time,batching_relative_dist,batching_benefit,alternative_cost,alternative_time,alternative_relative_dist,alternative_benefit,alternative2_cost,alternative2_time,alternative2_relative_dist,alternative2_benefit
10,36.9,0.001181,23.3605,2.18764,29.3,0.099984,15.0347,2.3803,30.1,0.03308,11.306,2.6845,30,0.031293,11.5763,2.58356
10,42.4,0.001115,14.1662,2.32316,32.4,0.031976,8.54462,2.48467,33.3,0.023438,6.12343,2.69549,34.1,0.025944,6.50639,2.56407
10,65.6,0.001188,34.5319,1.50132,56.9,0.033473,28.6388,1.68668,62.7,0.037459,26.4907,1.59091,57.1,0.027134,29.2244,1.71504
10,29.5,0.001176,17.4853,2.12265,23.7,0.033294,15.7842,2.46848,24.4,0.041524,9.2927,2.7474,24.4,0.02534,9.32776,2.744
10,33.9,0.001416,13.6098,2.72653,30.8,0.041291,15.2464,2.76135,32.2,0.023466,9.15424,2.95039,33.3,0.033113,10.847,2.51203
10,63.6,0.001093,27.713,1.7508,54.4,0.032066,27.3108,2.32476,56.4,0.025977,18.1897,2.13802,56.5,0.027563,18.696,1.9504
10,44.9,0.001039,32.1365,1.95153,41,0.040654,22.6362,1.96554,44.2,0.028004,12.8599,2.04453,44.2,0.028192,12.8599,2.04453
10,56.3,0.001092,28.6345,1.88981,46.9,0.036505,16.2451,2.49294,51.4,0.036415,13.7239,3.35062,47,0.028733,14.7161,2.50264
10,38.1,0.001213,25.7545,1.78968,35.5,0.036039,21.4046,1.94116,37.7,0.029126,14.9126,2.23213,36.2,0.031877,15.7012,2.12418
10,58.1,0.001054,30.9314,1.69759,49.7,0.044134,37.2742,1.83825,50.5,0.028141,22.9594,1.91523,50.5,0.021447,23.1702,1.92078
100,408.7,0.063071,25.6794,2.66872,329.5,5.40159,19.6012,2.58795,353.3,2.6373,8.53729,3.21498,352.6,1.97525,9.90835,2.91832
100,380,0.053569,21.3852,2.57695,344.2,4.66801,25.5204,2.54653,378.1,2.90623,9.68669,3.04937,366.2,2.53502,14.2935,2.73007
100,307.7,0.051525,16.9277,3.10373,241.5,3.57967,14.5063,3.13967,263.8,2.5107,6.70675,4.21492,262.8,2.26846,8.36048,3.32637
100,380.1,0.051922,20.3977,2.58536,317.4,3.08366,19.0303,2.55401,351.8,2.45834,8.42515,3.06858,337.3,2.08316,9.61529,2.94301
100,279.2,0.049795,21.2171,2.87035,234.8,2.41202,13.0355,3.04362,264.7,1.9811,6.80348,3.56614,267.6,9.7628,7.97186,3.26471
100,398.5,0.051523,36.2022,2.57917,341.7,8.0394,15.0977,3.75177,360.4,2.75411,8.37131,4.14139,356.7,2.96447,60.0068,2.7413
100,323.1,0.048186,15.5951,2.91306,250.9,2.18031,13.7765,2.94987,292.1,3.29183,7.05497,3.72044,284.9,2.40403,8.99687,3.14624
100,325.5,0.056106,13.1414,2.95811,260,2.28574,13.7152,2.92166,299.3,2.15797,7.28293,3.49355,293.3,2.13124,8.36091,3.25734
100,271.3,0.052061,14.2685,3.20167,227.6,2.40863,13.3557,3.07392,246.2,2.53635,6.07096,3.79984,249.3,2.14341,7.6247,3.40305
100,299,0.049561,18.8482,2.89727,258.7,2.46784,14.3561,2.80231,274.8,2.39642,7.64669,3.31746,277.3,2.40513,9.00857,3.07155
250,917.9,0.476846,43.3875,3.05795,706.5,20.6106,14.2803,4.01831,742.3,18.0696,7.29059,3.63975,748.1,17.4135,9.22449,3.29875
250,988.2,0.301568,19.886,2.87723,773.9,15.3656,15.9264,2.92202,873.3,19.9972,7.24301,3.50771,859.3,15.8713,8.62951,3.19874
250,736.9,0.326419,16.685,3.02062,599.5,27.6431,13.3001,2.91784,662.4,16.665,5.4802,3.54739,666.4,17.9911,6.58326,3.28307
250,844.5,0.335794,16.7466,4.23301,730.9,14.9396,15.4738,3.28265,768.4,16.3519,6.89101,5.34615,781.4,17.2419,8.60236,3.20746
250,844.2,0.316125,17.4334,2.85226,727,18.3119,15.6422,2.86275,759,16.997,6.89524,3.43784,766.1,19.1194,8.08843,3.14385
250,795.7,0.311501,16.7626,3.02258,635.6,15.9251,14.9759,2.97241,691.3,20.2195,5.2283,3.68038,703.8,18.3761,6.62387,3.32012
250,793.7,0.290647,18.1105,3.00279,676.1,17.5261,13.5573,2.87424,725.5,16.8326,5.98101,3.58898,721,17.0216,7.31936,3.26256
250,867.8,0.306591,19.6364,3.14013,681.7,14.7312,14.7107,3.17119,736.5,18.6589,5.94845,4.39887,741.3,14.8671,13.6961,3.13718
250,944.9,0.312055,18.5736,2.67004,825.7,18.506,17.5947,2.57061,887,16.0686,7.49648,3.39453,889.3,17.5216,8.91855,2.91789
250,762.2,0.304157,16.0022,3.02197,659.1,19.7038,13.3805,2.74386,699.1,14.7949,6.16576,3.50987,719.5,15.3596,7.22194,3.17244
500,1655.3,1.70138,19.6766,3.03581,1371.2,96.1721,13.4871,2.8768,1467.1,90.8796,6.06078,3.6628,1455.7,87.9244,7.29234,3.27906
500,1605.1,1.40641,17.9356,4.00967,1412.8,90.6612,15.9473,2.93651,1482.9,75.0171,6.20488,5.89533,1496.8,72.9056,8.11809,3.37996
500,1486.9,1.52633,15.6094,3.80785,1270.6,88.2937,17.7175,3.13114,1339.3,93.3487,5.70584,5.66917,1354.4,71.6028,14.2388,3.44612
500,1390.2,1.55693,14.2004,4.83439,1174.4,95.5705,13.2862,3.22385,1273.8,85.0263,4.65383,4.79224,1270.5,96.4748,6.50877,3.5587
500,1467,1.43964,16.5269,3.70333,1291.7,76.7016,13.2089,3.18366,1348.8,69.252,5.34598,4.99681,1367.7,68.7347,6.71368,3.38551
500,1441.5,1.61201,14.9693,3.24652,1255.4,93.0134,12.9658,2.89538,1335.2,93.7677,5.36184,3.7796,1345.8,79.1689,6.57385,3.32189
500,1737.4,1.61081,16.2364,4.43669,1521.8,92.0747,17.5692,2.685,1605.7,89.8717,6.75484,4.95039,1618.5,89.9531,8.22273,3.20309
