n,greedy_cost,greedy_time,greedy_benefit,batching_cost,batching_time,batching_benefit,alternative_cost,alternative_time,alternative_benefit
10,36.9,0.001152,2.18764,29.3,0.087832,2.3803,30,0.035853,2.58356
10,42.4,0.001153,2.32316,32.4,0.034346,2.48467,34.1,0.027947,2.56407
10,65.6,0.0011,1.50132,56.9,0.034618,1.68668,57.1,0.028287,1.71504
10,29.5,0.001119,2.12265,23.7,0.03586,2.46848,24.4,0.026842,2.744
10,33.9,0.001186,2.72653,30.8,0.040469,2.76135,33.3,0.031523,2.51203
10,63.6,0.001091,1.7508,54.4,0.046935,2.32476,56.5,0.027634,1.9504
10,44.9,0.001001,1.95153,41,0.039676,1.96554,44.2,0.028285,2.04453
10,56.3,0.001047,1.88981,46.9,0.037903,2.49294,47,0.029195,2.50264
10,38.1,0.001067,1.78968,35.5,0.034229,1.94116,36.2,0.02988,2.12418
10,58.1,0.001019,1.69759,49.7,0.043972,1.83825,50.5,0.02177,1.92078
100,408.7,0.06491,2.66872,329.5,2.48739,2.58795,352.6,1.98164,2.91832
100,380,0.051143,2.57695,344.2,2.27825,2.54653,366.2,4.38488,2.73007
100,307.7,0.04927,3.10373,241.5,2.75411,3.13967,262.8,2.04194,3.32637
100,380.1,0.054088,2.58536,317.4,7.00386,2.55401,337.3,2.0167,2.94301
100,279.2,0.049635,2.87035,234.8,2.29152,3.04362,267.6,2.11999,3.26471
100,398.5,0.205959,2.57917,341.7,3.23473,3.75177,356.7,2.50686,2.7413
100,323.1,0.047,2.91306,250.9,2.19335,2.94987,284.9,2.47178,3.14624
100,325.5,0.055521,2.95811,260,2.19304,2.92166,293.3,2.22079,3.25734
100,271.3,0.050443,3.20167,227.6,2.27557,3.07392,249.3,2.06031,3.40305
100,299,0.04845,2.89727,258.7,2.30191,2.80231,277.3,2.31525,3.07155
250,917.9,0.315696,3.05795,706.5,18.4314,4.01831,748.1,16.5746,3.29875
250,988.2,0.324428,2.87723,773.9,15.7615,2.92202,859.3,15.8909,3.19874
250,736.9,0.275875,3.02062,599.5,23.9276,2.91784,666.4,17.9152,3.28307
250,844.5,0.343786,4.23301,730.9,15.2781,3.28265,781.4,16.9959,3.20746
250,844.2,0.300597,2.85226,727,19.5135,2.86275,766.1,16.2929,3.14385
250,795.7,0.309497,3.02258,635.6,16.2202,2.97241,703.8,18.4726,3.32012
250,793.7,0.304283,3.00279,676.1,17.4439,2.87424,721,15.7637,3.26256
250,867.8,0.300136,3.14013,681.7,14.6972,3.17119,741.3,14.3854,3.13718
250,944.9,0.323199,2.67004,825.7,17.9127,2.57061,889.3,16.7604,2.91789
250,762.2,0.297767,3.02197,659.1,19.6447,2.74386,719.5,15.3455,3.17244
500,1655.3,1.46432,3.03581,1371.2,94.9397,2.8768,1455.7,79.2937,3.27906
500,1605.1,1.52461,4.00967,1412.8,90.6242,2.93651,1496.8,70.5459,3.37996
500,1486.9,1.45752,3.80785,1270.6,85.6635,3.13114,1354.4,69.2921,3.44612
500,1390.2,1.25498,4.83439,1174.4,88.4256,3.22385,1270.5,87.8136,3.5587
500,1467,1.29561,3.70333,1291.7,79.781,3.18366,1367.7,75.8452,3.38551
500,1441.5,1.37406,3.24652,1255.4,170.683,2.89538,1345.8,148.611,3.32189
500,1737.4,1.58624,4.43669,1521.8,147.782,2.685,1618.5,83.1488,3.20309
500,1705.1,1.56837,3.40736,1417.4,85.7325,2.90815,1525.5,97.0096,3.26649
500,1512.7,1.47043,3.36471,1243.5,99.9645,3.4365,1342.6,73.8111,3.42175
500,1531.7,2.0777,3.03531,1309.4,102.693,2.83059,1412.3,87.2792,3.28056
