n,greedy_cost,greedy_time,greedy_benefit,batching_cost,batching_time,batching_benefit,alternative_cost,alternative_time,alternative_benefit
10,36.9,0.001809,2.18764,29.3,0.143351,2.3803,30,0.055843,2.58356
10,42.4,0.001611,2.32316,32.4,0.049084,2.48467,34.1,0.038886,2.56407
10,65.6,0.001692,1.50132,56.9,0.050291,1.68668,57.1,0.042914,1.71504
10,29.5,0.001664,2.12265,23.7,0.062668,2.46848,24.4,0.045653,2.744
10,33.9,0.002661,2.72653,30.8,0.130782,2.76135,33.3,0.049456,2.51203
10,63.6,0.001768,1.7508,54.4,0.056799,2.32476,56.5,0.038473,1.9504
10,44.9,0.001381,1.95153,41,0.055191,1.96554,44.2,0.038836,2.04453
10,56.3,0.001458,1.88981,46.9,0.050812,2.49294,47,0.040684,2.50264
10,38.1,0.001641,1.78968,35.5,0.096899,1.94116,36.2,0.04394,2.12418
10,58.1,0.001381,1.69759,49.7,0.062111,1.83825,50.5,0.030906,1.92078
100,408.7,0.068779,2.66872,329.5,3.44132,2.58795,352.6,6.30953,2.91832
100,380,0.073741,2.57695,344.2,3.53053,2.54653,367.5,3.62111,2.84496
100,307.7,0.068815,3.10373,241.5,4.46377,3.13967,262.8,2.91158,3.32637
100,380.1,0.07256,2.58536,317.4,3.70646,2.55401,337.3,2.82281,2.94301
100,279.2,0.074009,2.87035,234.8,3.80744,3.04362,267.6,3.18061,3.26471
100,398.5,0.071607,2.57917,341.7,3.11148,3.75177,356.7,3.76246,2.7413
100,323.1,0.067033,2.91306,250.9,3.03487,2.94987,284.9,3.00984,3.14624
100,325.5,0.065889,2.95811,260,3.51308,2.92166,293.3,2.8972,3.25734
100,271.3,0.069364,3.20167,227.6,3.30042,3.07392,249.3,3.03436,3.40305
100,299,0.094869,2.89727,258.7,3.15467,2.80231,277.3,3.17355,3.07155
250,917.9,0.424252,3.05795,706.5,25.9019,4.01831,748.1,25.0983,3.29875
250,988.2,0.396585,2.87723,773.9,21.0567,2.92202,859.3,22.2533,3.19874
250,736.9,0.384308,3.02062,599.5,31.8031,2.91784,666.4,24.9729,3.28307
250,844.5,0.433711,4.23301,730.9,20.5746,3.28265,781.4,23.2701,3.20746
250,844.2,0.415231,2.85226,727,26.0846,2.86275,766.1,22.9158,3.14385
250,795.7,0.436119,3.02258,635.6,23.2224,2.97241,704.6,22.1896,3.33634
250,793.7,0.403498,3.00279,676.1,25.9372,2.87424,721,21.8434,3.26256
250,867.8,0.406826,3.14013,681.7,21.1355,3.17119,743.3,20.6769,3.18284
250,944.9,0.480495,2.67004,825.7,25.6517,2.57061,889.3,22.3496,2.91789
250,762.2,0.46185,3.02197,659.1,24.8483,2.74386,719.5,21.6967,3.17244
500,1655.3,1.89811,3.03581,1371.2,137.512,2.8768,1455.7,120.546,3.27906
500,1605.1,2.27259,4.00967,1412.8,132.359,2.93651,1496.8,104.012,3.37996
500,1486.9,2.20388,3.80785,1270.6,131.269,3.13114,1367.9,110.892,3.47792
500,1390.2,2.02526,4.83439,1174.4,131.873,3.22385,1270.5,130.004,3.5587
500,1467,1.91016,3.70333,1291.7,118.277,3.18366,1367.7,104.92,3.38551
500,1441.5,1.84961,3.24652,1255.4,135.303,2.89538,1344.5,204.459,3.32697
500,1737.4,2.11409,4.43669,1521.8,131.531,2.685,1610.1,119.127,3.20591
500,1705.1,2.16539,3.40736,1417.4,114.74,2.90815,1528.4,210.55,3.29397
500,1512.7,2.04159,3.36471,1243.5,123.067,3.4365,1353,108.716,3.40482
500,1531.7,2.0285,3.03531,1309.4,129.444,2.83059,1424.9,99.54,3.32206
