n,greedy_cost,greedy_time,greedy_benefit,batching_cost,batching_time,batching_benefit,alternative_cost,alternative_time,alternative_benefit
10,36.9,0.001358,2.18764,29.3,1.65675,2.3803,30,0.041645,2.58356
10,42.4,0.001337,2.32316,32.4,0.041986,2.48467,34.1,0.03173,2.56407
10,65.6,0.001236,1.50132,56.9,0.042258,1.68668,57.1,0.032771,1.71504
10,29.5,0.001355,2.12265,23.7,0.041867,2.46848,24.4,0.031077,2.744
10,33.9,0.001312,2.72653,30.8,0.055329,2.76135,33.3,0.037643,2.51203
10,63.6,0.001315,1.7508,54.4,0.042255,2.32476,56.5,0.033149,1.9504
10,44.9,0.001283,1.95153,41,0.049426,1.96554,44.2,0.033744,2.04453
10,56.3,0.001146,1.88981,46.9,0.045113,2.49294,47,0.034317,2.50264
10,38.1,0.001309,1.78968,35.5,0.042213,1.94116,36.2,0.035058,2.12418
10,58.1,0.001185,1.69759,49.7,0.053278,1.83825,50.5,0.02535,1.92078
100,408.7,0.057889,2.66872,329.5,2.95818,2.58795,352.6,2.30772,2.91832
100,380,0.058881,2.57695,344.2,2.41846,2.54653,367.5,2.77861,2.84496
100,307.7,0.056339,3.10373,241.5,3.12586,3.13967,262.8,2.04656,3.32637
100,380.1,0.051113,2.58536,317.4,2.72625,2.55401,337.3,2.64012,2.94301
100,279.2,0.049125,2.87035,234.8,2.15227,3.04362,267.6,2.13714,3.26471
100,398.5,0.05068,2.57917,341.7,2.26307,3.75177,356.7,2.46237,2.7413
100,323.1,0.052878,2.91306,250.9,2.10409,2.94987,284.9,2.28839,3.14624
100,325.5,0.048172,2.95811,260,2.25781,2.92166,293.3,2.16013,3.25734
100,271.3,0.049962,3.20167,227.6,2.33303,3.07392,249.3,2.07679,3.40305
100,299,0.048086,2.89727,258.7,2.45929,2.80231,277.3,2.23569,3.07155
250,917.9,0.300429,3.05795,706.5,17.5954,4.01831,748.1,15.9895,3.29875
250,988.2,0.294351,2.87723,773.9,15.2805,2.92202,859.3,27.2856,3.19874
250,736.9,0.281219,3.02062,599.5,22.8041,2.91784,666.4,19.8522,3.28307
250,844.5,0.351554,4.23301,730.9,14.8382,3.28265,781.4,16.9312,3.20746
250,844.2,0.313187,2.85226,727,17.5505,2.86275,766.1,16.1835,3.14385
250,795.7,0.34569,3.02258,635.6,15.8233,2.97241,704.6,15.6617,3.33634
250,793.7,0.307596,3.00279,676.1,17.7951,2.87424,721,16.135,3.26256
250,867.8,0.298964,3.14013,681.7,14.7305,3.17119,743.3,14.6,3.18284
250,944.9,0.326029,2.67004,825.7,19.7638,2.57061,889.3,15.89,2.91789
250,762.2,0.329305,3.02197,659.1,17.5561,2.74386,719.5,15.2067,3.17244
500,1655.3,1.47521,3.03581,1371.2,92.5574,2.8768,1455.7,75.8905,3.27906
500,1605.1,1.44781,4.00967,1412.8,89.6879,2.93651,1496.8,68.3961,3.37996
500,1486.9,1.36568,3.80785,1270.6,87.5854,3.13114,1367.9,84.6974,3.47792
500,1390.2,1.35827,4.83439,1174.4,93.4324,3.22385,1270.5,113.91,3.5587
500,1467,6.42137,3.70333,1291.7,80.8572,3.18366,1367.7,75.4649,3.38551
500,1441.5,1.60094,3.24652,1255.4,274.344,2.89538,1344.5,431.361,3.32697
500,1737.4,1.53427,4.43669,1521.8,127.799,2.685,1610.1,138.622,3.20591
500,1705.1,1.85675,3.40736,1417.4,75.1361,2.90815,1528.4,143.352,3.29397
500,1512.7,1.50125,3.36471,1243.5,92.7777,3.4365,1353,69.8526,3.40482
500,1531.7,1.32258,3.03531,1309.4,132.671,2.83059,1424.9,106.9,3.32206
