,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
523330,2,2018-12-02 19:31:41,2018-12-02 19:33:24,1,0.79,1,N,263,75,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
4368729,1,2018-12-15 20:13:35,2018-12-15 20:32:47,1,2.2,1,N,107,68,3,13.0,0.5,0.5,0.0,0.0,0.3,14.3
7252741,2,2018-12-27 15:58:44,2018-12-27 16:22:57,1,1.83,1,N,230,140,2,15.0,1.0,0.5,0.0,0.0,0.3,16.8
2431307,1,2018-12-09 09:19:35,2018-12-09 09:23:59,3,1.0,1,N,236,237,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
6456635,2,2018-12-23 03:14:24,2018-12-23 03:17:17,1,0.88,1,N,229,140,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
6048054,2,2018-12-21 15:02:42,2018-12-21 15:17:56,2,0.93,1,N,230,186,2,10.0,0.0,0.5,0.0,0.0,0.3,10.8
4954582,2,2018-12-17 22:24:39,2018-12-17 22:31:43,6,1.27,1,N,107,79,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3
7472369,2,2018-12-28 16:18:22,2018-12-28 16:22:18,3,0.81,1,N,236,140,1,4.5,1.0,0.5,1.26,0.0,0.3,7.56
5717644,1,2018-12-20 13:01:27,2018-12-20 13:06:12,1,0.8,1,N,144,113,1,5.5,0.0,0.5,1.25,0.0,0.3,7.55
7030220,1,2018-12-26 15:24:52,2018-12-26 15:41:05,1,1.9,1,N,142,140,1,12.0,0.0,0.5,1.0,0.0,0.3,13.8
7923902,1,2018-12-30 19:33:25,2018-12-30 19:47:07,3,2.8,1,N,236,48,1,12.0,0.0,0.5,2.55,0.0,0.3,15.35
3360831,2,2018-12-12 16:08:15,2018-12-13 16:03:47,1,1.4,1,N,140,236,1,7.0,1.0,0.5,1.76,0.0,0.3,10.56
7806035,2,2018-12-30 07:12:09,2018-12-30 07:14:28,6,0.94,1,N,79,137,1,4.5,0.0,0.5,1.59,0.0,0.3,6.89
4748162,2,2018-12-17 08:04:37,2018-12-17 08:19:17,1,2.09,1,N,236,143,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
241777,2,2018-12-01 19:12:25,2018-12-01 19:24:28,1,0.75,1,N,161,100,2,8.5,0.0,0.5,0.0,0.0,0.3,9.3
5521650,1,2018-12-19 20:23:49,2018-12-19 20:40:31,1,3.0,1,N,48,145,2,14.0,0.5,0.5,0.0,0.0,0.3,15.3
4229704,2,2018-12-15 12:41:23,2018-12-15 13:02:52,1,3.24,1,N,79,237,1,16.0,0.0,0.5,3.36,0.0,0.3,20.16
7805512,1,2018-12-30 07:46:09,2018-12-30 07:50:22,2,1.6,1,N,74,236,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75
2736903,2,2018-12-10 13:07:38,2018-12-10 13:32:10,1,2.48,1,N,140,48,1,16.5,0.0,0.5,1.7,0.0,0.3,19.0
574723,2,2018-12-03 00:30:05,2018-12-03 00:33:10,1,1.28,1,N,141,263,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16
7397584,1,2018-12-28 10:00:20,2018-12-28 10:03:29,1,0.9,1,N,41,75,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
1802024,1,2018-12-07 08:15:07,2018-12-07 08:27:17,1,1.3,1,N,107,164,1,9.5,0.0,0.5,2.05,0.0,0.3,12.35
