,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
4515580,2,2018-12-16 10:03:28,2018-12-16 10:10:06,1,1.52,1,N,48,246,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
1864385,2,2018-12-07 13:12:43,2018-12-07 13:26:25,2,1.74,1,N,246,234,1,10.0,0.0,0.5,3.24,0.0,0.3,14.04
2765980,1,2018-12-10 15:30:47,2018-12-10 15:38:31,1,1.3,1,N,238,142,1,7.5,0.0,0.5,1.65,0.0,0.3,9.95
6559173,2,2018-12-23 16:56:43,2018-12-23 17:14:16,1,8.85,1,N,142,220,1,25.5,0.0,0.5,0.0,2.64,0.3,28.94
6150097,1,2018-12-21 21:35:18,2018-12-21 21:37:07,1,0.3,1,N,140,140,1,3.5,0.5,0.5,0.95,0.0,0.3,5.75
4629253,2,2018-12-16 17:40:58,2018-12-16 17:48:18,1,1.17,1,N,263,141,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2987709,1,2018-12-11 11:00:40,2018-12-11 12:30:39,1,22.6,1,N,140,210,1,81.0,0.0,0.5,13.13,5.76,0.3,100.69
5176869,2,2018-12-18 18:14:29,2018-12-18 19:29:44,2,19.98,1,N,186,201,1,66.0,1.0,0.5,0.0,7.92,0.3,75.72
4177226,1,2018-12-15 08:14:53,2018-12-15 08:21:52,1,2.0,1,N,249,137,1,8.0,0.0,0.5,2.2,0.0,0.3,11.0
5948403,2,2018-12-21 08:47:49,2018-12-21 08:59:16,1,1.4,1,N,249,144,1,8.5,0.0,0.5,1.86,0.0,0.3,11.16
7392646,2,2018-12-28 10:42:31,2018-12-28 10:49:07,1,1.31,1,N,238,236,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
1971289,1,2018-12-07 19:30:35,2018-12-07 19:37:38,1,1.6,1,N,261,211,1,7.0,1.0,0.5,2.0,0.0,0.3,10.8
