,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2982272,1,2018-12-11 10:32:04,2018-12-11 10:49:00,2,1.6,1,N,163,170,2,11.5,0.0,0.5,0.0,0.0,0.3,12.3
1774634,2,2018-12-07 06:05:36,2018-12-07 06:11:23,1,1.61,1,N,48,142,1,7.0,0.0,0.5,1.56,0.0,0.3,9.36
2093893,2,2018-12-08 03:44:32,2018-12-08 03:47:55,1,1.17,1,N,164,163,1,5.5,0.5,0.5,0.68,0.0,0.3,7.48
3508175,1,2018-12-13 03:46:01,2018-12-13 03:49:01,1,0.5,1,N,137,170,1,4.0,0.5,0.5,1.05,0.0,0.3,6.35
3377790,2,2018-12-12 17:20:22,2018-12-12 17:31:56,1,1.69,1,N,43,24,2,9.5,1.0,0.5,0.0,0.0,0.3,11.3
7885545,1,2018-12-30 16:49:25,2018-12-30 16:52:13,1,0.4,1,N,239,142,1,4.0,0.0,0.5,0.95,0.0,0.3,5.75
3998535,1,2018-12-14 17:26:05,2018-12-14 17:37:08,1,1.8,1,N,68,211,2,9.0,1.0,0.5,0.0,0.0,0.3,10.8
1061257,2,2018-12-04 19:14:51,2018-12-04 19:34:28,1,1.93,1,N,48,239,2,13.0,1.0,0.5,0.0,0.0,0.3,14.8
1502371,1,2018-12-06 09:55:02,2018-12-06 10:13:25,1,1.3,1,N,162,163,2,12.0,0.0,0.5,0.0,0.0,0.3,12.8
1777669,2,2018-12-07 07:28:36,2018-12-07 07:35:00,6,1.23,1,N,236,43,1,6.5,0.0,0.5,1.0,0.0,0.3,8.3
