,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
623979,2,2018-12-03 09:30:24,2018-12-03 09:51:30,1,2.81,1,N,164,142,1,15.0,0.0,0.5,0.0,0.0,0.3,15.8
4770712,1,2018-12-17 10:13:50,2018-12-17 10:16:54,1,0.7,1,N,249,125,1,4.5,0.0,0.5,1.3,0.0,0.3,6.6
335673,2,2018-12-02 01:14:00,2018-12-02 01:28:07,2,3.82,1,N,209,40,1,14.5,0.5,0.5,3.95,0.0,0.3,19.75
5379388,2,2018-12-19 11:13:58,2018-12-19 11:41:35,2,1.31,1,N,48,161,2,16.5,0.0,0.5,0.0,0.0,0.3,17.3
6465413,1,2018-12-23 07:58:27,2018-12-23 08:01:37,1,1.0,1,N,163,100,2,5.0,0.0,0.5,0.0,0.0,0.3,5.8
451852,2,2018-12-02 14:20:07,2018-12-02 14:22:18,6,0.53,1,N,143,143,1,4.0,0.0,0.5,0.96,0.0,0.3,5.76
6495200,2,2018-12-23 11:21:05,2018-12-23 11:25:05,1,0.44,1,N,161,163,2,4.5,0.0,0.5,0.0,0.0,0.3,5.3
1632113,1,2018-12-06 18:12:39,2018-12-06 18:24:37,1,1.1,1,N,50,143,1,9.0,1.0,0.5,1.08,0.0,0.3,11.88
6567016,2,2018-12-23 17:45:13,2018-12-23 17:48:49,6,0.31,1,N,170,164,2,4.0,0.0,0.5,0.0,0.0,0.3,4.8
2275391,1,2018-12-08 18:14:44,2018-12-08 18:26:59,2,0.9,1,N,48,48,1,8.5,0.0,0.5,2.0,0.0,0.3,11.3
7570181,1,2018-12-29 02:31:50,2018-12-29 02:39:06,1,2.1,1,N,74,159,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8
182563,2,2018-12-01 16:41:09,2018-12-01 17:25:21,5,19.82,3,N,238,1,2,75.0,0.0,0.0,0.0,17.5,0.3,92.8
7151895,1,2018-12-27 08:39:29,2018-12-27 08:51:48,1,1.0,1,N,100,161,1,9.0,0.0,0.5,1.95,0.0,0.3,11.75
4674902,2,2018-12-16 20:10:54,2018-12-16 20:14:53,1,0.85,1,N,141,237,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56
6082291,2,2018-12-21 17:16:47,2018-12-21 17:20:49,1,0.89,1,N,239,142,1,5.0,1.0,0.5,1.0,0.0,0.3,7.8
3418919,2,2018-12-12 19:26:07,2018-12-12 19:40:43,1,2.06,1,N,158,231,1,11.0,1.0,0.5,2.56,0.0,0.3,15.36
152455,1,2018-12-01 14:31:56,2018-12-01 14:39:31,1,0.6,1,N,249,90,1,6.5,0.0,0.5,1.45,0.0,0.3,8.75
5037736,1,2018-12-18 09:00:25,2018-12-18 09:13:14,1,1.5,1,N,162,236,1,10.0,0.0,0.5,2.15,0.0,0.3,12.95
5460050,2,2018-12-19 16:58:37,2018-12-19 17:27:15,1,3.62,1,N,186,263,1,19.0,1.0,0.5,4.16,0.0,0.3,24.96
3455075,2,2018-12-12 21:28:07,2018-12-12 21:40:26,4,2.32,1,N,114,164,1,10.5,0.5,0.5,1.0,0.0,0.3,12.8
5904429,2,2018-12-21 01:25:28,2018-12-21 01:33:58,1,1.36,1,N,230,233,1,7.5,0.5,0.5,1.76,0.0,0.3,10.56
4855354,2,2018-12-17 16:43:27,2018-12-17 16:47:56,1,0.69,1,N,141,237,2,5.0,1.0,0.5,0.0,0.0,0.3,6.8
2936440,2,2018-12-11 08:00:41,2018-12-11 08:04:12,1,0.72,1,N,43,43,1,4.5,0.0,0.5,1.06,0.0,0.3,6.36
2941850,2,2018-12-11 08:00:44,2018-12-11 08:11:09,2,1.77,1,N,263,43,1,9.0,0.0,0.5,1.47,0.0,0.3,11.27
7417213,2,2018-12-28 12:30:49,2018-12-28 12:38:38,1,1.23,1,N,79,107,2,7.5,0.0,0.5,0.0,0.0,0.3,8.3
7970205,1,2018-12-31 01:09:35,2018-12-31 01:21:14,1,2.3,1,N,234,140,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8
2307308,1,2018-12-08 20:51:23,2018-12-08 21:04:16,1,3.4,1,N,79,229,1,13.0,0.5,0.5,2.0,0.0,0.3,16.3
7741382,2,2018-12-29 21:11:16,2018-12-29 21:17:21,6,1.02,1,N,162,237,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8
4893750,2,2018-12-17 18:25:35,2018-12-17 18:53:03,5,4.17,1,N,113,140,1,19.0,1.0,0.5,6.24,0.0,0.3,27.04
2357118,2,2018-12-08 23:21:23,2018-12-08 23:43:01,1,3.12,1,N,161,144,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3
2501067,2,2018-12-09 14:00:27,2018-12-09 14:07:45,2,0.93,1,N,237,229,1,6.5,0.0,0.5,1.25,0.0,0.3,8.55
5984542,1,2018-12-21 11:36:27,2018-12-21 12:02:47,2,1.3,1,N,50,161,2,15.5,0.0,0.5,0.0,0.0,0.3,16.3
4030578,1,2018-12-14 19:24:13,2018-12-14 19:29:59,1,0.7,1,N,88,87,1,5.5,1.0,0.5,1.45,0.0,0.3,8.75
5142388,2,2018-12-18 16:33:58,2018-12-18 16:49:29,2,1.36,1,N,142,237,2,10.5,1.0,0.5,0.0,0.0,0.3,12.3
