n,greedy_cost,greedy_time,greedy_benefit,batching_cost,batching_time,batching_benefit,alternative_cost,alternative_time,alternative_benefit
10,36.9,0.001245,2.18764,29.3,0.093769,2.3803,30,0.034978,2.58356
10,42.4,0.001201,2.32316,32.4,0.033778,2.48467,34.1,0.027233,2.56407
10,65.6,0.001038,1.50132,56.9,0.03526,1.68668,57.1,0.027981,1.71504
10,29.5,0.001121,2.12265,23.7,0.033868,2.46848,24.4,0.024758,2.744
10,33.9,0.00119,2.72653,30.8,0.038913,2.76135,33.3,0.030067,2.51203
10,63.6,0.000967,1.7508,54.4,0.031913,2.32476,56.5,0.027038,1.9504
10,44.9,0.000957,1.95153,41,0.039543,1.96554,44.2,0.027913,2.04453
10,56.3,0.001095,1.88981,46.9,0.036178,2.49294,47,0.028822,2.50264
10,38.1,0.001182,1.78968,35.5,0.035061,1.94116,36.2,0.030078,2.12418
10,58.1,0.001004,1.69759,49.7,0.043778,1.83825,50.5,0.021477,1.92078
100,408.7,0.05129,2.66872,329.5,4.0462,2.58795,352.6,2.01423,2.91832
100,380,0.052299,2.57695,344.2,2.93287,2.54653,367.5,9.09485,2.84496
100,307.7,0.052462,3.10373,241.5,2.59209,3.13967,262.8,2.11902,3.32637
100,380.1,0.051314,2.58536,317.4,2.50424,2.55401,337.3,2.55192,2.94301
100,279.2,0.04878,2.87035,234.8,2.23532,3.04362,267.6,2.7139,3.26471
100,398.5,0.052044,2.57917,341.7,2.29752,3.75177,356.7,2.44828,2.7413
100,323.1,0.047139,2.91306,250.9,2.1614,2.94987,284.9,2.40558,3.14624
100,325.5,0.048302,2.95811,260,2.17964,2.92166,293.3,2.29728,3.25734
100,271.3,0.051653,3.20167,227.6,2.30973,3.07392,249.3,2.45272,3.40305
100,299,0.048682,2.89727,258.7,2.29494,2.80231,277.3,2.2495,3.07155
250,917.9,0.313792,3.05795,706.5,17.2256,4.01831,748.1,16.4331,3.29875
250,988.2,0.289212,2.87723,773.9,14.7726,2.92202,859.3,16.324,3.19874
250,736.9,0.308606,3.02062,599.5,22.2654,2.91784,666.4,17.6454,3.28307
250,844.5,0.306709,4.23301,730.9,14.6142,3.28265,781.4,16.8633,3.20746
250,844.2,0.320664,2.85226,727,17.9229,2.86275,766.1,17.938,3.14385
250,795.7,0.292711,3.02258,635.6,15.8787,2.97241,704.6,18.5784,3.33634
250,793.7,0.326171,3.00279,676.1,17.5622,2.87424,721,15.6543,3.26256
250,867.8,0.299215,3.14013,681.7,15.6585,3.17119,743.3,17.2372,3.18284
250,944.9,0.878762,2.67004,825.7,20.7871,2.57061,889.3,16.4653,2.91789
250,762.2,0.303516,3.02197,659.1,17.7108,2.74386,719.5,15.2613,3.17244
500,1655.3,1.41772,3.03581,1371.2,91.3191,2.8768,1455.7,79.1995,3.27906
500,1605.1,1.93999,4.00967,1412.8,89.5327,2.93651,1496.8,78.9416,3.37996
500,1486.9,1.2874,3.80785,1270.6,83.6984,3.13114,1367.9,81.5438,3.47792
500,1390.2,1.41689,4.83439,1174.4,92.6381,3.22385,1270.5,88.6095,3.5587
500,1467,1.46097,3.70333,1291.7,81.7299,3.18366,1367.7,69.9336,3.38551
500,1441.5,1.53733,3.24652,1255.4,89.8982,2.89538,1344.5,147.566,3.32697
500,1737.4,1.49838,4.43669,1521.8,88.9569,2.685,1610.1,93.5678,3.20591
500,1705.1,1.43898,3.40736,1417.4,77.4138,2.90815,1528.4,157.212,3.29397
500,1512.7,1.40607,3.36471,1243.5,83.0282,3.4365,1353,79.4287,3.40482
500,1531.7,1.5084,3.03531,1309.4,87.9605,2.83059,1424.9,77.8934,3.32206
